id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
933,2019-10-01,,Month-to-month,Yes,Electronic check,83.25,308.05,Fiber optic,No,No,No,No,Yes,No,Female,1,Yes,No,Yes,0
934,2020-02-01,,Two year,No,Mailed check,80.85,2291.023009417808,DSL,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,No,0
935,2019-04-01,2019-10-01,Month-to-month,Yes,Electronic check,79.05,434.5,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,Yes,1
936,2014-09-01,,One year,Yes,Credit card (automatic),108.05,7118.9,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
937,2018-11-01,,Month-to-month,No,Mailed check,19.9,320.45,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
938,2018-02-01,,One year,No,Bank transfer (automatic),21.05,531.55,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,No,0
939,2019-01-01,,Month-to-month,No,Electronic check,30.15,382.2,DSL,No,Yes,No,No,No,No,Female,0,No,Yes,No,0
940,2018-02-01,,Month-to-month,Yes,Credit card (automatic),79.85,2001.0,Fiber optic,No,No,No,No,No,Yes,Male,0,No,No,No,0
941,2014-02-01,,Two year,No,Bank transfer (automatic),65.5,4919.7,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,0
942,2015-08-01,,Month-to-month,Yes,Bank transfer (automatic),104.1,5645.8,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
943,2019-09-01,2019-12-01,Month-to-month,No,Bank transfer (automatic),74.4,215.8,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,1
944,2019-10-01,,Month-to-month,Yes,Mailed check,20.5,77.6,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
945,2017-06-01,,Month-to-month,Yes,Mailed check,91.35,2896.55,Fiber optic,No,No,Yes,No,Yes,No,Female,1,Yes,Yes,Yes,0
946,2017-02-01,2020-01-01,Month-to-month,Yes,Electronic check,99.05,3395.8,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,No,No,Yes,1
947,2017-03-01,,Two year,No,Bank transfer (automatic),20.5,759.35,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
948,2019-08-01,2019-10-01,Month-to-month,No,Mailed check,44.95,85.15,DSL,No,No,No,No,No,No,Male,1,No,No,No,1
949,2019-06-01,,Month-to-month,No,Electronic check,75.6,535.55,Fiber optic,No,Yes,No,No,No,No,Female,0,No,No,No,0
950,2018-04-01,,Month-to-month,No,Mailed check,55.1,1253.15,DSL,Yes,No,No,Yes,No,No,Male,0,No,No,No,0
951,2018-11-01,,Month-to-month,No,Electronic check,58.95,955.15,DSL,Yes,No,Yes,Yes,No,No,Female,0,No,No,No,0
952,2018-04-01,,Month-to-month,Yes,Electronic check,95.1,2162.6,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,0
953,2019-11-01,2019-12-01,Month-to-month,No,Credit card (automatic),44.7,44.7,DSL,No,No,No,No,No,No,Male,0,Yes,No,No,1
954,2014-03-01,,Two year,No,Bank transfer (automatic),25.45,1813.35,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
955,2019-10-01,,Month-to-month,No,Electronic check,56.75,245.15,DSL,Yes,No,Yes,No,No,No,Male,0,No,No,No,0
956,2018-01-01,,Month-to-month,No,Bank transfer (automatic),81.75,2028.8,DSL,Yes,Yes,Yes,Yes,No,Yes,Male,0,No,No,Yes,0
957,2017-06-01,,Month-to-month,Yes,Electronic check,86.1,2723.75,Fiber optic,No,Yes,No,No,Yes,No,Female,0,Yes,Yes,No,0
958,2019-07-01,,Month-to-month,No,Bank transfer (automatic),29.8,220.45,DSL,Yes,No,No,No,No,No,Male,1,Yes,No,No,0
959,2018-09-01,,One year,Yes,Mailed check,20.5,365.8,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
960,2019-06-01,,Month-to-month,No,Bank transfer (automatic),60.9,551.95,DSL,Yes,No,No,No,Yes,No,Male,1,Yes,No,No,0
961,2015-06-01,,Two year,No,Bank transfer (automatic),73.25,4054.2,DSL,Yes,No,Yes,Yes,No,Yes,Female,1,No,No,Yes,0
962,2019-12-01,2020-01-01,Month-to-month,Yes,Mailed check,45.7,45.7,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
963,2019-03-01,2019-11-01,Month-to-month,No,Credit card (automatic),100.3,832.35,Fiber optic,Yes,No,No,Yes,Yes,Yes,Male,1,No,No,No,1
964,2019-04-01,2019-11-01,Month-to-month,No,Electronic check,19.25,112.3,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
965,2019-11-01,,Month-to-month,No,Mailed check,20.85,60.65,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
966,2014-03-01,,Two year,No,Credit card (automatic),77.35,5550.1,DSL,Yes,Yes,Yes,Yes,Yes,No,Female,0,No,No,No,0
967,2019-09-01,2019-11-01,Month-to-month,Yes,Electronic check,96.0,174.8,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,Yes,1
968,2019-10-01,2019-11-01,Month-to-month,No,Electronic check,90.55,90.55,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,No,1
969,2016-01-01,,Month-to-month,Yes,Bank transfer (automatic),93.85,4733.1,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,No,Yes,0
970,2015-04-01,,Two year,No,Bank transfer (automatic),70.1,4048.95,DSL,No,Yes,Yes,Yes,Yes,No,Male,0,No,No,No,0
971,2016-02-01,2019-10-01,Month-to-month,Yes,Electronic check,30.35,1359.7,DSL,No,Yes,No,No,No,No,Male,1,Yes,No,No,1
972,2015-03-01,,Two year,Yes,Credit card (automatic),75.95,4542.35,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
973,2013-11-01,2019-10-01,Two year,Yes,Electronic check,108.05,7532.15,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,1
974,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,69.9,69.9,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
975,2019-03-01,,Month-to-month,No,Electronic check,75.25,888.65,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
976,2014-11-01,2020-01-01,One year,Yes,Electronic check,103.75,6383.35,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,1
977,2017-03-01,,One year,Yes,Bank transfer (automatic),54.95,1916.0,DSL,Yes,No,No,Yes,No,No,Female,0,Yes,Yes,No,0
978,2018-06-01,,Month-to-month,Yes,Bank transfer (automatic),19.5,413.0,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
979,2016-10-01,,Two year,No,Mailed check,19.6,808.95,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
980,2016-11-01,,One year,Yes,Electronic check,47.85,1886.4,DSL,Yes,No,No,No,No,No,Female,0,No,No,No,0
981,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,86.6,86.6,Fiber optic,No,No,No,No,No,Yes,Male,0,No,No,Yes,1
982,2014-02-01,,Two year,No,Bank transfer (automatic),23.75,1679.25,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
983,2017-03-01,2019-12-01,Month-to-month,Yes,Bank transfer (automatic),80.6,2656.5,Fiber optic,No,Yes,No,No,No,No,Female,1,Yes,No,Yes,1
984,2019-02-01,,Month-to-month,No,Bank transfer (automatic),43.8,540.95,DSL,No,No,No,No,No,No,Female,0,No,No,No,0
985,2020-01-01,,Month-to-month,No,Bank transfer (automatic),19.75,19.75,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
986,2017-11-01,,Month-to-month,No,Mailed check,19.15,537.35,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
987,2017-04-01,,One year,No,Credit card (automatic),19.6,678.8,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
988,2015-06-01,,Two year,No,Bank transfer (automatic),80.3,4513.65,Fiber optic,Yes,No,Yes,No,No,No,Female,0,Yes,No,No,0
989,2015-04-01,,Two year,No,Credit card (automatic),24.35,1423.85,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
990,2018-04-01,,Two year,No,Credit card (automatic),25.25,555.4,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
991,2019-04-01,,Two year,No,Credit card (automatic),26.1,225.55,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
992,2019-01-01,,Two year,No,Credit card (automatic),20.0,268.45,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
993,2017-01-01,2019-12-01,Month-to-month,No,Credit card (automatic),85.3,2917.5,Fiber optic,No,Yes,No,Yes,No,No,Female,0,No,No,Yes,1
994,2017-03-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),70.0,2416.1,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
995,2019-09-01,2020-01-01,Month-to-month,Yes,Electronic check,94.3,424.45,Fiber optic,No,No,No,No,Yes,Yes,Female,1,No,No,Yes,1
996,2014-02-01,,Two year,No,Bank transfer (automatic),20.7,1492.1,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
997,2019-12-01,,Month-to-month,No,Electronic check,70.3,132.4,DSL,No,No,No,Yes,Yes,Yes,Male,0,No,No,No,0
998,2019-04-01,2019-11-01,Month-to-month,Yes,Electronic check,95.35,660.9,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,No,1
999,2017-08-01,2019-11-01,Month-to-month,Yes,Electronic check,75.5,1893.95,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,Yes,1
1000,2019-10-01,,Month-to-month,Yes,Mailed check,69.55,284.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
1001,2017-01-01,,Two year,No,Mailed check,19.85,784.25,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
1019,2019-05-01,,Month-to-month,Yes,Bank transfer (automatic),95.9,827.45,Fiber optic,No,No,No,Yes,Yes,Yes,Male,0,No,No,No,0
1021,2020-01-01,,Month-to-month,No,Electronic check,49.5,49.5,DSL,No,Yes,No,No,No,No,Female,0,No,No,No,0
1023,2018-07-01,2020-01-01,Month-to-month,No,Electronic check,57.45,990.85,DSL,No,No,Yes,No,No,Yes,Male,0,Yes,Yes,No,1
1025,2018-11-01,2019-11-01,One year,No,Credit card (automatic),53.65,696.35,DSL,No,No,No,No,No,Yes,Male,0,Yes,Yes,No,1
1027,2014-03-01,,Two year,Yes,Mailed check,80.1,5585.4,DSL,Yes,Yes,Yes,Yes,No,Yes,Male,0,Yes,No,Yes,0
1028,2014-10-01,,One year,Yes,Bank transfer (automatic),24.4,1601.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
1030,2019-10-01,,Month-to-month,Yes,Electronic check,40.05,162.45,DSL,No,No,No,Yes,No,Yes,Male,0,No,No,No,0
1032,2018-03-01,,Month-to-month,Yes,Mailed check,19.5,470.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
1034,2016-11-01,,Month-to-month,No,Credit card (automatic),51.05,2066.0,DSL,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,0
1036,2017-10-01,,One year,No,Mailed check,54.35,1426.45,DSL,Yes,No,No,Yes,No,No,Male,0,Yes,No,No,0
1038,2019-09-01,,Month-to-month,Yes,Electronic check,84.7,392.5,Fiber optic,No,Yes,No,No,Yes,No,Female,1,No,No,No,0
1040,2016-05-01,,Month-to-month,Yes,Electronic check,86.1,3861.45,Fiber optic,No,No,Yes,No,No,Yes,Female,1,Yes,No,No,0
1042,2017-01-01,,Month-to-month,Yes,Mailed check,70.35,2552.9,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1044,2015-02-01,,Two year,Yes,Bank transfer (automatic),110.0,6668.35,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,No,No,0
1046,2019-04-01,2019-12-01,Month-to-month,Yes,Electronic check,100.6,819.4,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,No,No,Yes,1
1048,2016-03-01,,One year,No,Credit card (automatic),94.9,4615.25,Fiber optic,Yes,No,Yes,No,Yes,No,Female,0,No,No,Yes,0
1050,2017-11-01,2020-01-01,Month-to-month,Yes,Electronic check,83.75,2070.6,Fiber optic,No,No,No,No,Yes,No,Male,0,Yes,Yes,Yes,1
1052,2019-08-01,2019-11-01,Month-to-month,Yes,Mailed check,88.3,273.75,Fiber optic,Yes,No,No,Yes,Yes,No,Female,1,Yes,Yes,No,1
1054,2015-12-01,,Month-to-month,Yes,Bank transfer (automatic),69.75,3557.7,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
1056,2017-11-01,,Month-to-month,No,Bank transfer (automatic),71.6,1957.1,DSL,No,No,No,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
1058,2019-02-01,2019-10-01,Month-to-month,Yes,Electronic check,92.1,729.95,Fiber optic,No,No,Yes,No,Yes,Yes,Female,1,No,No,No,1
1060,2014-12-01,,Two year,No,Bank transfer (automatic),23.65,1416.75,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,0
1062,2014-03-01,,Two year,No,Bank transfer (automatic),81.85,5924.4,DSL,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,0
1064,2014-08-01,,Two year,No,Mailed check,25.1,1697.7,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
1066,2014-06-01,,Two year,Yes,Bank transfer (automatic),114.7,7849.85,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
1068,2019-01-01,,Month-to-month,No,Electronic check,49.15,649.4,DSL,No,No,Yes,No,Yes,Yes,Female,0,No,No,No,0
1070,2015-06-01,,One year,Yes,Electronic check,80.9,4557.5,Fiber optic,No,No,No,No,No,Yes,Male,0,Yes,No,No,0
1072,2016-10-01,2019-12-01,Month-to-month,Yes,Electronic check,79.45,3013.05,Fiber optic,Yes,Yes,No,No,No,No,Male,0,Yes,No,No,1
1074,2018-09-01,2019-11-01,Month-to-month,No,Credit card (automatic),90.45,1266.1,Fiber optic,No,No,No,No,Yes,Yes,Male,1,No,No,No,1
1076,2018-10-01,,One year,Yes,Bank transfer (automatic),19.3,360.35,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,No,0
1078,2018-12-01,,Month-to-month,No,Electronic check,70.2,1046.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
1080,2017-02-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),69.75,2347.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,1
1082,2019-06-01,,One year,No,Bank transfer (automatic),54.25,447.75,DSL,Yes,No,No,Yes,No,No,Female,0,No,No,No,0
1084,2016-07-01,,Month-to-month,Yes,Bank transfer (automatic),99.3,4209.95,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
1086,2015-10-01,,One year,No,Credit card (automatic),74.0,3877.65,DSL,Yes,No,Yes,Yes,Yes,No,Female,0,No,No,Yes,0
1088,2019-11-01,,Month-to-month,Yes,Mailed check,50.25,152.3,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,0
1090,2017-09-01,,One year,Yes,Mailed check,19.8,572.2,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1092,2019-12-01,2020-01-01,Month-to-month,No,Mailed check,19.65,19.65,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
1094,2019-01-01,2020-01-01,Month-to-month,Yes,Electronic check,43.65,526.95,DSL,No,No,Yes,Yes,No,Yes,Male,1,No,No,No,1
1096,2018-10-01,,Month-to-month,Yes,Credit card (automatic),35.5,552.7,DSL,No,No,No,No,No,Yes,Female,0,Yes,Yes,No,0
1098,2016-10-01,,One year,Yes,Mailed check,80.75,3208.65,DSL,No,No,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0
1100,2019-08-01,2020-01-01,Month-to-month,No,Electronic check,39.5,210.75,DSL,No,No,Yes,No,No,Yes,Female,0,No,No,No,1
1102,2016-08-01,2019-12-01,Month-to-month,Yes,Bank transfer (automatic),97.1,3706.95,Fiber optic,No,No,No,No,Yes,Yes,Male,0,Yes,No,Yes,1
1103,2017-02-01,,One year,No,Mailed check,19.55,620.75,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
1106,2019-06-01,2019-11-01,Month-to-month,Yes,Electronic check,80.0,412.5,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,No,1
1108,2018-12-01,2019-10-01,Month-to-month,Yes,Mailed check,84.7,832.05,Fiber optic,Yes,No,No,No,Yes,No,Female,0,No,No,No,1
1110,2019-09-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),89.55,185.55,Fiber optic,No,No,No,No,Yes,Yes,Male,0,Yes,Yes,No,1
1111,2018-01-01,2019-12-01,Month-to-month,Yes,Electronic check,90.6,1943.2,Fiber optic,No,No,No,Yes,Yes,No,Male,0,No,No,Yes,1
1113,2017-12-01,,One year,Yes,Bank transfer (automatic),20.05,505.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
1115,2014-02-01,,Two year,Yes,Electronic check,112.4,8046.85,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,Yes,0
1117,2017-04-01,,Month-to-month,No,Bank transfer (automatic),50.2,1815.3,DSL,No,No,No,Yes,No,No,Female,0,Yes,No,No,0
1119,2019-04-01,,Month-to-month,No,Bank transfer (automatic),62.25,612.95,DSL,Yes,No,No,Yes,Yes,No,Male,0,No,No,No,0
1121,2018-12-01,,One year,No,Mailed check,55.7,795.15,DSL,Yes,No,No,Yes,No,No,Female,0,No,No,No,0
1123,2017-11-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),90.05,2169.8,Fiber optic,Yes,No,No,No,Yes,No,Female,0,No,No,Yes,1
1125,2016-03-01,,Two year,No,Mailed check,19.65,973.1,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
1127,2018-02-01,,Month-to-month,Yes,Electronic check,89.25,2210.2,Fiber optic,Yes,No,No,Yes,No,Yes,Male,0,Yes,No,No,0
1129,2015-11-01,2019-12-01,Month-to-month,Yes,Bank transfer (automatic),99.05,4853.75,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,Yes,No,Yes,1
1131,2018-06-01,,One year,No,Mailed check,54.0,1055.9,DSL,Yes,No,No,Yes,No,No,Male,1,No,No,No,0
1133,2019-10-01,2019-12-01,Month-to-month,No,Bank transfer (automatic),69.75,144.55,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
1135,2019-08-01,2019-10-01,Month-to-month,Yes,Credit card (automatic),49.05,91.1,DSL,No,Yes,No,No,No,No,Female,0,No,No,No,1
1137,2018-04-01,,Two year,No,Bank transfer (automatic),56.75,1304.85,DSL,No,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,0
1139,2019-03-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),98.05,713.0,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,No,No,Yes,1
1141,2020-01-01,,Month-to-month,No,Mailed check,21.1,21.1,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1143,2015-03-01,,Month-to-month,Yes,Bank transfer (automatic),96.65,5580.8,Fiber optic,No,Yes,No,Yes,No,Yes,Female,0,Yes,Yes,Yes,0
1146,2015-04-01,,One year,Yes,Credit card (automatic),24.5,1497.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
1147,2016-05-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),114.5,4527.45,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,1
1150,2015-03-01,,Two year,Yes,Credit card (automatic),79.2,4590.35,Fiber optic,No,Yes,No,No,No,No,Female,1,No,No,Yes,0
1151,2019-11-01,,Month-to-month,Yes,Electronic check,69.55,200.2,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
1153,2017-06-01,,Two year,Yes,Bank transfer (automatic),20.05,614.45,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1155,2016-04-01,,Month-to-month,Yes,Electronic check,98.85,4564.9,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,0
1157,2020-02-01,,Two year,No,Mailed check,25.75,2291.023009417808,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0
1159,2019-10-01,2019-12-01,Month-to-month,Yes,Electronic check,80.95,171.15,Fiber optic,No,No,No,No,No,Yes,Male,0,No,No,No,1
1161,2015-10-01,,One year,No,Credit card (automatic),19.6,1012.4,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
1163,2018-11-01,2019-12-01,Month-to-month,Yes,Electronic check,74.3,940.35,Fiber optic,No,No,Yes,No,No,No,Female,1,No,No,No,1
1165,2018-12-01,2019-11-01,Month-to-month,No,Bank transfer (automatic),89.7,1047.7,Fiber optic,No,No,No,No,Yes,Yes,Female,1,No,No,No,1
1167,2017-06-01,,Month-to-month,No,Bank transfer (automatic),87.65,2766.4,Fiber optic,Yes,No,No,Yes,No,No,Male,0,No,No,Yes,0
1169,2018-05-01,2019-10-01,Month-to-month,Yes,Credit card (automatic),100.45,1622.45,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,1
1171,2018-10-01,,Month-to-month,Yes,Credit card (automatic),74.75,1129.35,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
1173,2015-11-01,,One year,No,Bank transfer (automatic),107.45,5680.9,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,0
1175,2017-09-01,,One year,Yes,Bank transfer (automatic),75.35,2243.9,DSL,No,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,0
1177,2014-04-01,,Two year,No,Credit card (automatic),64.95,4523.25,DSL,Yes,Yes,Yes,Yes,No,No,Male,0,Yes,No,No,0
1179,2014-03-01,,Two year,No,Electronic check,100.45,7159.7,Fiber optic,Yes,No,Yes,Yes,No,Yes,Female,0,Yes,Yes,Yes,0
1181,2016-09-01,,One year,No,Bank transfer (automatic),68.5,2839.95,DSL,No,Yes,Yes,No,Yes,No,Male,0,Yes,Yes,Yes,0
1183,2020-01-01,,Month-to-month,Yes,Electronic check,80.55,80.55,Fiber optic,No,No,No,No,Yes,No,Male,0,No,No,No,0
1185,2019-07-01,,Month-to-month,No,Bank transfer (automatic),81.25,580.1,DSL,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,0
1187,2017-09-01,2019-10-01,One year,Yes,Electronic check,90.4,2178.6,Fiber optic,No,No,No,No,Yes,Yes,Male,0,Yes,Yes,No,1
1189,2014-07-01,,One year,No,Electronic check,89.55,6038.55,Fiber optic,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,0
1191,2019-09-01,,Month-to-month,Yes,Mailed check,55.7,259.4,DSL,No,No,No,Yes,No,No,Male,0,Yes,Yes,Yes,0
1193,2018-11-01,,Month-to-month,Yes,Electronic check,24.8,324.15,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,Yes,0
1195,2018-06-01,,Month-to-month,No,Electronic check,20.0,417.65,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
1197,2019-07-01,2019-10-01,Month-to-month,Yes,Mailed check,56.15,168.15,DSL,No,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,1
1199,2015-08-01,,One year,Yes,Electronic check,105.2,5637.85,Fiber optic,No,Yes,No,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
1201,2016-08-01,,One year,Yes,Mailed check,19.55,839.4,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1203,2019-05-01,,Month-to-month,Yes,Electronic check,79.75,769.1,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,No,No,0
1205,2014-11-01,,Two year,No,Bank transfer (automatic),97.45,6253.0,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,No,No,Yes,0
1207,2014-05-01,,Two year,No,Bank transfer (automatic),24.25,1641.8,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,0
1209,2014-05-01,,Two year,No,Credit card (automatic),24.6,1678.05,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
1211,2016-10-01,,Month-to-month,Yes,Mailed check,50.15,2058.5,DSL,No,Yes,No,No,No,No,Male,0,Yes,No,No,0
1213,2015-02-01,,Two year,No,Bank transfer (automatic),39.6,2424.5,DSL,Yes,Yes,Yes,No,No,No,Male,0,No,No,No,0
1215,2019-07-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),94.4,387.2,Fiber optic,Yes,No,Yes,Yes,No,Yes,Female,0,No,No,No,1
1217,2014-03-01,,Two year,No,Mailed check,89.85,6293.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,No,No,Yes,0
1219,2016-09-01,2019-10-01,Month-to-month,Yes,Credit card (automatic),78.95,2839.65,Fiber optic,No,No,Yes,No,No,No,Female,0,Yes,No,Yes,1
1221,2017-06-01,,Month-to-month,Yes,Credit card (automatic),98.85,3145.9,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,Yes,No,Yes,0
1223,2016-11-01,,Two year,Yes,Credit card (automatic),53.85,2200.7,DSL,No,No,No,Yes,No,No,Male,0,No,No,Yes,0
1225,2016-12-01,,One year,Yes,Electronic check,24.25,914.4,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
1227,2015-10-01,,Two year,Yes,Credit card (automatic),89.45,4577.75,Fiber optic,No,No,Yes,No,No,Yes,Male,0,No,No,Yes,0
1229,2016-02-01,,Month-to-month,Yes,Credit card (automatic),105.25,4997.5,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
1231,2014-04-01,,Two year,No,Bank transfer (automatic),59.5,4144.8,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
1233,2018-06-01,,Month-to-month,No,Credit card (automatic),70.55,1493.55,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1235,2015-12-01,,One year,Yes,Credit card (automatic),82.5,4179.1,DSL,Yes,No,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0
1237,2018-03-01,2019-10-01,One year,Yes,Credit card (automatic),44.85,893.55,DSL,No,No,No,No,Yes,Yes,Female,0,No,No,No,1
1239,2018-01-01,,One year,Yes,Bank transfer (automatic),61.6,1611.0,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,0
1241,2019-02-01,,Month-to-month,Yes,Bank transfer (automatic),49.05,593.05,DSL,No,Yes,No,No,No,No,Male,0,No,No,No,0
1243,2016-10-01,2020-01-01,Month-to-month,Yes,Electronic check,105.65,4284.8,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,1
1245,2019-06-01,2020-01-01,Month-to-month,No,Mailed check,74.65,544.55,Fiber optic,No,No,Yes,No,No,No,Male,0,No,No,No,1
1247,2018-03-01,,One year,Yes,Mailed check,66.25,1533.8,DSL,Yes,Yes,Yes,Yes,No,No,Female,0,Yes,Yes,No,0
1249,2017-11-01,,Month-to-month,Yes,Electronic check,19.4,529.8,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
